pid,year,start,end,days,n_obs,min_z,mean_z,critical_days,max_deficit,mean_deficit,worst_date,ndvi_at_worst,norm_at_worst,phase,phase_end,start_doy,end_doy,severity,cause,confidence,norm_source,weather_source,artifacts_near,region_z,ndwi_anomaly,ndwi_n,region_share_depressed,weather,reasons,text
AOI-0001,2010,2010-08-15,2010-09-28,45,6,-2.345127348117481,-1.5751166099582687,10,-0.1079113999779964,-0.08714687332302404,2010-09-02,0.11348979037349184,0.2201720195964769,лето после уборки,осень (озимые всходы),227,271,критическая,weather_drought,0.75,история полигона,ERA5 полигона,0,-0.5521590723860456,0.13852026794179745,5.0,0.2077922077922078,"{""available"": true, ""before"": {""precip_mm"": 6.386664147626675, ""temp_c"": 30.66099192301435, ""dry_days"": 28, ""hot_days"": 26, ""max_dry_spell"": 20, ""n_days"": 30, ""precip_deficit_pct"": 76.42087884986394, ""temp_anomaly_c"": 4.502615201738148, ""precip_norm_mm"": 27.086099210232103, ""temp_norm_c"": 26.158376721276202, ""norm_years"": 15}, ""during"": {""precip_mm"": 15.727727982440598, ""temp_c"": 22.14098872432005, ""dry_days"": 40, ""hot_days"": 5, ""max_dry_spell"": 18, ""n_days"": 45, ""precip_deficit_pct"": 56.02735261236298, ""temp_anomaly_c"": 0.9473794018780808, ""precip_norm_mm"": 35.76707093342411, ""temp_norm_c"": 21.19360932244197, ""norm_years"": 15}, ""combined"": {""precip_mm"": 22.114392130067273, ""temp_c"": 25.548990003797766, ""dry_days"": 68, ""hot_days"": 31, ""max_dry_spell"": 38, ""n_days"": 75, ""precip_deficit_pct"": 64.81578879868277, ""temp_anomaly_c"": 2.3694737218221, ""precip_norm_mm"": 62.85317014365622, ""temp_norm_c"": 23.179516281975665, ""norm_years"": 15}, ""source"": ""ERA5 полигона""}","за 30 дней до и во время эпизода осадков 22 мм при норме 63 мм (дефицит 65 %) | температура выше нормы на 2.4 °C (25.5 против 23.2 °C), жарких дней 31 | сухая серия 38 дней подряд | за 30 дней до эпизода: осадков 6 мм при норме 27 мм | во время эпизода: осадков 16 мм при норме 36 мм | пик на уровне нормы (118%), но спад начался на 17 дней раньше обычного | соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.6) | водный индекс NDWI выше нормы на 0.14 (5 набл.) — второй индекс подтверждает потерю зелёной массы","AOI-0001, сезон 2010: критическая аномалия с 2010-08-15 по 2010-09-28 (45 дней, 6 наблюдений), фаза — лето после уборки. NDVI в худший день 2010-09-02: 0.11 при норме 0.22 (Z = -2.3). Вероятная причина — погодный стресс: дефицит осадков и/или жара (уверенность 75%). Аргументы: за 30 дней до и во время эпизода осадков 22 мм при норме 63 мм (дефицит 65 %); температура выше нормы на 2.4 °C (25.5 против 23.2 °C), жарких дней 31; сухая серия 38 дней подряд; за 30 дней до эпизода: осадков 6 мм при норме 27 мм; во время эпизода: осадков 16 мм при норме 36 мм; пик на уровне нормы (118%), но спад начался на 17 дней раньше обычного; соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.6); водный индекс NDWI выше нормы на 0.14 (5 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2010,2010-10-07,2010-10-30,24,2,-1.5309611005896078,-1.357363234812875,0,-0.12455847679128056,-0.11556848812018544,2010-10-27,0.10558436535622191,0.23014284214750247,осень (озимые всходы),осень (озимые всходы),280,303,умеренная,early_decline,0.6,история полигона,ERA5 полигона,0,-0.5686720484460043,0.09022032275173458,2.0,0.19480519480519481,"{""available"": true, ""before"": {""precip_mm"": 30.937965611279594, ""temp_c"": 17.188664287991013, ""dry_days"": 23, ""hot_days"": 0, ""max_dry_spell"": 13, ""n_days"": 30, ""precip_deficit_pct"": -5.1884043782503, ""temp_anomaly_c"": -0.08824942412200087, ""precip_norm_mm"": 29.41195447744296, ""temp_norm_c"": 17.276913712113014, ""norm_years"": 15}, ""during"": {""precip_mm"": 29.989399967602637, ""temp_c"": 9.800502289666094, ""dry_days"": 17, ""hot_days"": 0, ""max_dry_spell"": 6, ""n_days"": 24, ""precip_deficit_pct"": 2.9464020095745114, ""temp_anomaly_c"": -1.020693403703195, ""precip_norm_mm"": 30.899833276208003, ""temp_norm_c"": 10.821195693369289, ""norm_years"": 15}, ""combined"": {""precip_mm"": 60.92736557888223, ""temp_c"": 13.905036733179942, ""dry_days"": 40, ""hot_days"": 0, ""max_dry_spell"": 13, ""n_days"": 54, ""precip_deficit_pct"": -1.0206592246040813, ""temp_anomaly_c"": -0.502668970602528, ""precip_norm_mm"": 60.31178775365096, ""temp_norm_c"": 14.40770570378247, ""norm_years"": 15}, ""source"": ""ERA5 полигона""}","пик на уровне нормы (118%), но спад начался на 17 дней раньше обычного | соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.6) | водный индекс NDWI выше нормы на 0.09 (2 набл.) — второй индекс подтверждает потерю зелёной массы","AOI-0001, сезон 2010: умеренная аномалия с 2010-10-07 по 2010-10-30 (24 дней, 2 наблюдений), фаза — осень (озимые всходы). NDVI в худший день 2010-10-27: 0.11 при норме 0.23 (Z = -1.5). Вероятная причина — ранний спад вегетации (уборка, полегание, болезнь) (уверенность 60%). Аргументы: пик на уровне нормы (118%), но спад начался на 17 дней раньше обычного; соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.6); водный индекс NDWI выше нормы на 0.09 (2 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2011,2011-04-01,2011-05-16,46,6,-2.1351821865475884,-1.8624075146305306,18,-0.3792199820588057,-0.3215364362302188,2011-05-02,0.20943049466187333,0.5860627571756714,весна (всходы и рост),пик вегетации,91,136,критическая,crop_rotation,0.7,история полигона,ERA5 полигона,2,-0.5120382789026854,0.2886532598531415,4.0,0.24675324675324675,"{""available"": true, ""during"": {""precip_mm"": 93.97853508035325, ""temp_c"": 10.543782405576867, ""dry_days"": 23, ""hot_days"": 0, ""max_dry_spell"": 8, ""n_days"": 46, ""precip_deficit_pct"": -20.78595223478745, ""temp_anomaly_c"": -2.6628383180369486, ""precip_norm_mm"": 77.80584856231864, ""temp_norm_c"": 13.206620723613815, ""norm_years"": 15}, ""combined"": {""precip_mm"": 93.97853508035325, ""temp_c"": 10.543782405576867, ""dry_days"": 23, ""hot_days"": 0, ""max_dry_spell"": 8, ""n_days"": 76}, ""source"": ""ERA5 полигона""}","пик достигнут (112% нормы), но на 39 дней позже обычного: на поле яровая культура вместо привычной озимой, весеннее отставание — смена фазы, а не угнетение | соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.5) | водный индекс NDWI выше нормы на 0.29 (4 набл.) — второй индекс подтверждает потерю зелёной массы","AOI-0001, сезон 2011: критическая аномалия с 2011-04-01 по 2011-05-16 (46 дней, 6 наблюдений), фаза — весна (всходы и рост). NDVI в худший день 2011-05-02: 0.21 при норме 0.59 (Z = -2.1). Вероятная причина — смена культуры: яровая вместо озимой, весеннее отставание — не угнетение (уверенность 70%). Аргументы: пик достигнут (112% нормы), но на 39 дней позже обычного: на поле яровая культура вместо привычной озимой, весеннее отставание — смена фазы, а не угнетение; соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.5); водный индекс NDWI выше нормы на 0.29 (4 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2013,2013-06-03,2013-07-07,35,3,-2.1753114506624227,-1.651987379583083,9,-0.2697769708843848,-0.23243373648176271,2013-06-11,0.3241725146030754,0.5767699289761862,пик вегетации,созревание и уборка,154,188,критическая,weather_drought,0.75,история полигона,ERA5 полигона,0,-0.4656245138875899,0.16042314741292277,3.0,0.22077922077922077,"{""available"": true, ""before"": {""precip_mm"": 41.01033216067762, ""temp_c"": 20.858912086486836, ""dry_days"": 25, ""hot_days"": 0, ""max_dry_spell"": 11, ""n_days"": 30, ""precip_deficit_pct"": 43.2095558284147, ""temp_anomaly_c"": 3.1527329727455395, ""precip_norm_mm"": 72.21343794524653, ""temp_norm_c"": 17.706179113741296, ""norm_years"": 15}, ""during"": {""precip_mm"": 44.76707018061887, ""temp_c"": 24.138120124453614, ""dry_days"": 26, ""hot_days"": 9, ""max_dry_spell"": 6, ""n_days"": 35, ""precip_deficit_pct"": 3.0488811063115406, ""temp_anomaly_c"": 0.7082776193770179, ""precip_norm_mm"": 46.174887604657876, ""temp_norm_c"": 23.429842505076596, ""norm_years"": 15}, ""combined"": {""precip_mm"": 85.7774023412965, ""temp_c"": 22.624639491545867, ""dry_days"": 51, ""hot_days"": 9, ""max_dry_spell"": 11, ""n_days"": 65, ""precip_deficit_pct"": 27.545725524145016, ""temp_anomaly_c"": 1.8364877824701757, ""precip_norm_mm"": 118.38832554990441, ""temp_norm_c"": 20.78815170907569, ""norm_years"": 15}, ""source"": ""ERA5 полигона""}","температура выше нормы на 1.8 °C (22.6 против 20.8 °C), жарких дней 9 | за 30 дней до эпизода: осадков 41 мм при норме 72 мм | пик на уровне нормы (121%), но спад начался на 31 дней раньше обычного | соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.5) | водный индекс NDWI выше нормы на 0.16 (3 набл.) — второй индекс подтверждает потерю зелёной массы","AOI-0001, сезон 2013: критическая аномалия с 2013-06-03 по 2013-07-07 (35 дней, 3 наблюдений), фаза — пик вегетации. NDVI в худший день 2013-06-11: 0.32 при норме 0.58 (Z = -2.2). Вероятная причина — погодный стресс: дефицит осадков и/или жара (уверенность 75%). Аргументы: температура выше нормы на 1.8 °C (22.6 против 20.8 °C), жарких дней 9; за 30 дней до эпизода: осадков 41 мм при норме 72 мм; пик на уровне нормы (121%), но спад начался на 31 дней раньше обычного; соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.5); водный индекс NDWI выше нормы на 0.16 (3 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2014,2014-04-04,2014-05-30,57,7,-2.658393519574432,-1.6994575452553344,19,-0.35105649634418606,-0.27240793367712396,2014-05-17,0.3243079282853763,0.6651666409902086,весна (всходы и рост),пик вегетации,94,150,критическая,crop_rotation,0.7,история полигона,ERA5 полигона,1,0.6008011583274564,0.22725950845208262,5.0,0.03896103896103896,"{""available"": true, ""before"": {""precip_mm"": 5.503121018307411, ""temp_c"": 3.358905410766605, ""dry_days"": 2, ""hot_days"": 0, ""max_dry_spell"": 2, ""n_days"": 30}, ""during"": {""precip_mm"": 81.51791780530004, ""temp_c"": 15.618325069494439, ""dry_days"": 35, ""hot_days"": 0, ""max_dry_spell"": 8, ""n_days"": 57, ""precip_deficit_pct"": 24.20246740120674, ""temp_anomaly_c"": 1.0052753835161337, ""precip_norm_mm"": 107.54692799406224, ""temp_norm_c"": 14.613049685978305, ""norm_years"": 15}, ""combined"": {""precip_mm"": 87.02103882360746, ""temp_c"": 15.005354086558043, ""dry_days"": 37, ""hot_days"": 0, ""max_dry_spell"": 8, ""n_days"": 87}, ""source"": ""ERA5 полигона""}","пик достигнут (120% нормы), но на 46 дней позже обычного: на поле яровая культура вместо привычной озимой, весеннее отставание — смена фазы, а не угнетение | другие поля региона в эти дни в норме (медианный Z 0.6, ниже нормы 4% из 77) — причина локальная, на самом поле | водный индекс NDWI выше нормы на 0.23 (5 набл.) — второй индекс подтверждает потерю зелёной массы","AOI-0001, сезон 2014: критическая аномалия с 2014-04-04 по 2014-05-30 (57 дней, 7 наблюдений), фаза — весна (всходы и рост). NDVI в худший день 2014-05-17: 0.32 при норме 0.67 (Z = -2.7). Вероятная причина — смена культуры: яровая вместо озимой, весеннее отставание — не угнетение (уверенность 70%). Аргументы: пик достигнут (120% нормы), но на 46 дней позже обычного: на поле яровая культура вместо привычной озимой, весеннее отставание — смена фазы, а не угнетение; другие поля региона в эти дни в норме (медианный Z 0.6, ниже нормы 4% из 77) — причина локальная, на самом поле; водный индекс NDWI выше нормы на 0.23 (5 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2015,2015-08-02,2015-09-13,43,4,-1.4634289694449525,-1.2512941181051067,0,-0.1274958517153081,-0.08580445478095397,2015-09-03,0.14432674244391247,0.21795732953126556,созревание и уборка,лето после уборки,214,256,умеренная,weather_drought,0.65,история полигона,ERA5 полигона,0,-0.15161164354710518,0.09289232851127316,2.0,0.025974025974025976,"{""available"": true, ""before"": {""precip_mm"": 12.164697087516885, ""temp_c"": 25.03832081688777, ""dry_days"": 28, ""hot_days"": 9, ""max_dry_spell"": 16, ""n_days"": 30, ""precip_deficit_pct"": 62.73262044732657, ""temp_anomaly_c"": -0.8770383714746579, ""precip_norm_mm"": 32.64167546398961, ""temp_norm_c"": 25.915359188362427, ""norm_years"": 15}, ""during"": {""precip_mm"": 11.273974092098626, ""temp_c"": 24.750040426919654, ""dry_days"": 39, ""hot_days"": 14, ""max_dry_spell"": 20, ""n_days"": 43, ""precip_deficit_pct"": 63.296539165846575, ""temp_anomaly_c"": 0.6766483533598091, ""precip_norm_mm"": 30.71637888056576, ""temp_norm_c"": 24.073392073559845, ""norm_years"": 15}, ""combined"": {""precip_mm"": 23.438671179615508, ""temp_c"": 24.868511820057236, ""dry_days"": 67, ""hot_days"": 23, ""max_dry_spell"": 30, ""n_days"": 73, ""precip_deficit_pct"": 63.00601175005984, ""temp_anomaly_c"": 0.038146959592218366, ""precip_norm_mm"": 63.358054344555356, ""temp_norm_c"": 24.830364860465018, ""norm_years"": 15}, ""source"": ""ERA5 полигона""}","за 30 дней до и во время эпизода осадков 23 мм при норме 63 мм (дефицит 63 %) | сухая серия 30 дней подряд | за 30 дней до эпизода: осадков 12 мм при норме 33 мм | во время эпизода: осадков 11 мм при норме 31 мм | другие поля региона в эти дни в норме (медианный Z -0.2, ниже нормы 3% из 77) — причина локальная, на самом поле | водный индекс NDWI выше нормы на 0.09 (2 набл.) — второй индекс подтверждает потерю зелёной массы","AOI-0001, сезон 2015: умеренная аномалия с 2015-08-02 по 2015-09-13 (43 дней, 4 наблюдений), фаза — созревание и уборка. NDVI в худший день 2015-09-03: 0.14 при норме 0.22 (Z = -1.5). Вероятная причина — погодный стресс: дефицит осадков и/или жара (уверенность 65%). Аргументы: за 30 дней до и во время эпизода осадков 23 мм при норме 63 мм (дефицит 63 %); сухая серия 30 дней подряд; за 30 дней до эпизода: осадков 12 мм при норме 33 мм; во время эпизода: осадков 11 мм при норме 31 мм; другие поля региона в эти дни в норме (медианный Z -0.2, ниже нормы 3% из 77) — причина локальная, на самом поле; водный индекс NDWI выше нормы на 0.09 (2 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2015,2015-09-22,2015-10-27,36,4,-1.5516385464983642,-1.2005531902591295,0,-0.10832466692202346,-0.08987910798774484,2015-09-26,0.1300524569692415,0.19211799882917607,осень (озимые всходы),осень (озимые всходы),265,300,умеренная,weather_drought,0.65,история полигона,ERA5 полигона,0,-0.5614241423788704,0.09500988024538395,2.0,0.2077922077922078,"{""available"": true, ""before"": {""precip_mm"": 4.717521163030369, ""temp_c"": 22.36307939953277, ""dry_days"": 28, ""hot_days"": 4, ""max_dry_spell"": 16, ""n_days"": 30, ""precip_deficit_pct"": 79.97474948386262, ""temp_anomaly_c"": 1.1375201239409343, ""precip_norm_mm"": 23.55786340464879, ""temp_norm_c"": 21.225559275591834, ""norm_years"": 15}, ""during"": {""precip_mm"": 55.48721683654989, ""temp_c"": 12.657347138722763, ""dry_days"": 30, ""hot_days"": 0, ""max_dry_spell"": 22, ""n_days"": 36, ""precip_deficit_pct"": -23.626011496324995, ""temp_anomaly_c"": -0.1496389247752994, ""precip_norm_mm"": 44.88312464743664, ""temp_norm_c"": 12.806986063498062, ""norm_years"": 15}, ""combined"": {""precip_mm"": 60.20473799958026, ""temp_c"": 17.069043620909127, ""dry_days"": 58, ""hot_days"": 4, ""max_dry_spell"": 30, ""n_days"": 66, ""precip_deficit_pct"": 12.034089931953007, ""temp_anomaly_c"": 0.43543337009571204, ""precip_norm_mm"": 68.44098805208543, ""temp_norm_c"": 16.633610250813415, ""norm_years"": 15}, ""source"": ""ERA5 полигона""}",сухая серия 30 дней подряд | за 30 дней до эпизода: осадков 5 мм при норме 24 мм | соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.6) | водный индекс NDWI выше нормы на 0.10 (2 набл.) — второй индекс подтверждает потерю зелёной массы,"AOI-0001, сезон 2015: умеренная аномалия с 2015-09-22 по 2015-10-27 (36 дней, 4 наблюдений), фаза — осень (озимые всходы). NDVI в худший день 2015-09-26: 0.13 при норме 0.19 (Z = -1.6). Вероятная причина — погодный стресс: дефицит осадков и/или жара (уверенность 65%). Аргументы: сухая серия 30 дней подряд; за 30 дней до эпизода: осадков 5 мм при норме 24 мм; соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.6); водный индекс NDWI выше нормы на 0.10 (2 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2016,2016-05-14,2016-06-25,43,4,-1.8367471899453622,-1.4753827909980775,0,-0.2182262797974237,-0.19760584682284563,2016-06-06,0.3837642565791043,0.6014546351106139,весна (всходы и рост),созревание и уборка,135,177,умеренная,late_start,0.6,история полигона,ERA5 полигона,2,0.40458693217642133,0.18062702754611876,2.0,0.05194805194805195,"{""available"": true, ""before"": {""precip_mm"": 56.10344937747769, ""temp_c"": 14.162138218349904, ""dry_days"": 15, ""hot_days"": 0, ""max_dry_spell"": 4, ""n_days"": 30, ""precip_deficit_pct"": -15.581842042313099, ""temp_anomaly_c"": 0.139517481062148, ""precip_norm_mm"": 48.5400201157366, ""temp_norm_c"": 14.022620737287756, ""norm_years"": 15}, ""during"": {""precip_mm"": 139.73426726805727, ""temp_c"": 19.47987707566848, ""dry_days"": 23, ""hot_days"": 4, ""max_dry_spell"": 5, ""n_days"": 43, ""precip_deficit_pct"": -89.61392769518639, ""temp_anomaly_c"": -1.7066391686136377, ""precip_norm_mm"": 73.69409460927727, ""temp_norm_c"": 21.186516244282117, ""norm_years"": 15}, ""combined"": {""precip_mm"": 195.83771664553495, ""temp_c"": 17.294504942523858, ""dry_days"": 38, ""hot_days"": 4, ""max_dry_spell"": 5, ""n_days"": 73, ""precip_deficit_pct"": -60.21526976008678, ""temp_anomaly_c"": -0.9479446550482464, ""precip_norm_mm"": 122.23411472501388, ""temp_norm_c"": 18.242449597572104, ""norm_years"": 15}, ""source"": ""ERA5 полигона""}","рост начался на 21 дней позже нормы, но пик достигнут (71% нормы) | другие поля региона в эти дни в норме (медианный Z 0.4, ниже нормы 5% из 77) — причина локальная, на самом поле | водный индекс NDWI выше нормы на 0.18 (2 набл.) — второй индекс подтверждает потерю зелёной массы","AOI-0001, сезон 2016: умеренная аномалия с 2016-05-14 по 2016-06-25 (43 дней, 4 наблюдений), фаза — весна (всходы и рост). NDVI в худший день 2016-06-06: 0.38 при норме 0.60 (Z = -1.8). Вероятная причина — запаздывание всходов и роста (уверенность 60%). Аргументы: рост начался на 21 дней позже нормы, но пик достигнут (71% нормы); другие поля региона в эти дни в норме (медианный Z 0.4, ниже нормы 5% из 77) — причина локальная, на самом поле; водный индекс NDWI выше нормы на 0.18 (2 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2021,2021-05-17,2021-06-13,28,4,-1.7461593137445786,-1.4889972202537896,0,-0.21005175535257464,-0.19198728741774393,2021-05-29,0.43364062630132055,0.6436923816538952,пик вегетации,пик вегетации,137,164,умеренная,crop_rotation,0.7,история полигона,ERA5 полигона,0,0.5773584035451957,0.14155187979223882,2.0,0.16883116883116883,"{""available"": true, ""before"": {""precip_mm"": 77.50712367181123, ""temp_c"": 13.666999838087317, ""dry_days"": 20, ""hot_days"": 0, ""max_dry_spell"": 7, ""n_days"": 30, ""precip_deficit_pct"": -55.833545538861415, ""temp_anomaly_c"": -1.097312867199932, ""precip_norm_mm"": 49.73712393169074, ""temp_norm_c"": 14.76431270528725, ""norm_years"": 15}, ""during"": {""precip_mm"": 101.26893454559927, ""temp_c"": 18.830593885694253, ""dry_days"": 10, ""hot_days"": 0, ""max_dry_spell"": 4, ""n_days"": 28, ""precip_deficit_pct"": -108.80769055715555, ""temp_anomaly_c"": -1.6468889584617017, ""precip_norm_mm"": 48.498661268359555, ""temp_norm_c"": 20.477482844155954, ""norm_years"": 15}, ""combined"": {""precip_mm"": 178.77605821741048, ""temp_c"": 16.159769378311353, ""dry_days"": 30, ""hot_days"": 0, ""max_dry_spell"": 7, ""n_days"": 58, ""precip_deficit_pct"": -81.98669441420512, ""temp_anomaly_c"": -1.3626254629814802, ""precip_norm_mm"": 98.2357852000503, ""temp_norm_c"": 17.522394841292833, ""norm_years"": 15}, ""source"": ""ERA5 полигона""}","пик достигнут (97% нормы), но на 52 дней позже обычного: на поле яровая культура вместо привычной озимой, весеннее отставание — смена фазы, а не угнетение | другие поля региона в эти дни в норме (медианный Z 0.6, ниже нормы 17% из 77) — причина локальная, на самом поле | водный индекс NDWI выше нормы на 0.14 (2 набл.) — второй индекс подтверждает потерю зелёной массы","AOI-0001, сезон 2021: умеренная аномалия с 2021-05-17 по 2021-06-13 (28 дней, 4 наблюдений), фаза — пик вегетации. NDVI в худший день 2021-05-29: 0.43 при норме 0.64 (Z = -1.7). Вероятная причина — смена культуры: яровая вместо озимой, весеннее отставание — не угнетение (уверенность 70%). Аргументы: пик достигнут (97% нормы), но на 52 дней позже обычного: на поле яровая культура вместо привычной озимой, весеннее отставание — смена фазы, а не угнетение; другие поля региона в эти дни в норме (медианный Z 0.6, ниже нормы 17% из 77) — причина локальная, на самом поле; водный индекс NDWI выше нормы на 0.14 (2 набл.) — второй индекс подтверждает потерю зелёной массы. Норма: история полигона."
AOI-0001,2024,2024-08-07,2024-09-04,29,9,-1.3381131382154496,-1.220442309865019,0,-0.10445940602978407,-0.07709776241964103,2024-08-15,0.1742179858331636,0.26602147522035985,созревание и уборка,лето после уборки,220,248,умеренная,weather_drought,0.75,история полигона,ERA5 полигона,0,-0.6915981887897434,0.021574288108114195,8.0,0.23376623376623376,"{""available"": true, ""before"": {""precip_mm"": 24.1615088633651, ""temp_c"": 27.507262102762873, ""dry_days"": 27, ""hot_days"": 16, ""max_dry_spell"": 15, ""n_days"": 30, ""precip_deficit_pct"": 14.168192629414333, ""temp_anomaly_c"": 1.4877486610412483, ""precip_norm_mm"": 28.149831168119135, ""temp_norm_c"": 26.019513441721625, ""norm_years"": 15}, ""during"": {""precip_mm"": 4.697657969924052, ""temp_c"": 25.831330433111102, ""dry_days"": 26, ""hot_days"": 10, ""max_dry_spell"": 25, ""n_days"": 29, ""precip_deficit_pct"": 76.39685492498319, ""temp_anomaly_c"": 0.8680747956608457, ""precip_norm_mm"": 19.902678032921866, ""temp_norm_c"": 24.963255637450256, ""norm_years"": 15}, ""combined"": {""precip_mm"": 28.85916683328915, ""temp_c"": 26.683499078696745, ""dry_days"": 53, ""hot_days"": 26, ""max_dry_spell"": 25, ""n_days"": 59, ""precip_deficit_pct"": 39.94243523777538, ""temp_anomaly_c"": 1.183163201786467, ""precip_norm_mm"": 48.05250920104101, ""temp_norm_c"": 25.500335876910277, ""norm_years"": 15}, ""source"": ""ERA5 полигона""}","температура выше нормы на 1.2 °C (26.7 против 25.5 °C), жарких дней 26 | сухая серия 25 дней подряд | во время эпизода: осадков 5 мм при норме 20 мм | пик на уровне нормы (119%), но спад начался на 16 дней раньше обычного | соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.7)","AOI-0001, сезон 2024: умеренная аномалия с 2024-08-07 по 2024-09-04 (29 дней, 9 наблюдений), фаза — созревание и уборка. NDVI в худший день 2024-08-15: 0.17 при норме 0.27 (Z = -1.3). Вероятная причина — погодный стресс: дефицит осадков и/или жара (уверенность 75%). Аргументы: температура выше нормы на 1.2 °C (26.7 против 25.5 °C), жарких дней 26; сухая серия 25 дней подряд; во время эпизода: осадков 5 мм при норме 20 мм; пик на уровне нормы (119%), но спад начался на 16 дней раньше обычного; соседние поля региона в эти дни чуть ниже нормы (медианный Z -0.7). Норма: история полигона."
